User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023/04/30,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-45.67,2023/04/30,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,-12.99,2023/04/29,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Mastercard,Capital One
US001,T004,-8.50,2023/04/29,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Mastercard,Capital One
US001,T005,-59.99,2023/04/28,GENERAL_SERVICES_EDUCATION,Credit Card,ED01,Coursera,Mastercard,Capital One
US001,T006,-22.35,2023/04/27,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,T007,-34.99,2023/04/26,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AM01,Amazon,Mastercard,Capital One
US001,T008,-15.00,2023/04/25,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,Local Gym,Mastercard,Capital One
US001,T009,-42.50,2023/04/24,FOOD_AND_DRINK_RESTAURANT,Debit Card,RS01,Healthy Bites,Visa,Chase Bank
US001,T010,-9.99,2023/04/23,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Mastercard,Capital One
US001,T011,-65.00,2023/04/22,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,TJ01,TJ Maxx,Mastercard,Capital One
US001,T012,-30.00,2023/04/21,TRANSFER_OUT_SAVINGS,Transfer,SV01,Savings Account,ACH,Chase Bank
US001,T013,-18.75,2023/04/20,FOOD_AND_DRINK_GROCERIES,Debit Card,TR01,Trader Joe's,Visa,Chase Bank
US001,T014,-49.99,2023/04/19,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Payment,IC01,Comcast,ACH,Chase Bank
US001,T015,-7.50,2023/04/18,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Mastercard,Capital One
US001,T016,-22.35,2023/04/17,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,T017,-14.99,2023/04/16,GENERAL_SERVICES_EDUCATION,Credit Card,SK01,Skillshare,Mastercard,Capital One
US001,T018,-32.50,2023/04/16,FOOD_AND_DRINK_RESTAURANT,Credit Card,CH01,Chipotle,Mastercard,Capital One
US001,T019,-15.00,2023/04/15,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,Local Gym,Mastercard,Capital One
US001,T020,-28.75,2023/04/14,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T021,-12.99,2023/04/13,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Mastercard,Capital One
US001,T022,-39.99,2023/04/12,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AM01,Amazon,Mastercard,Capital One
US001,T023,-8.50,2023/04/11,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Mastercard,Capital One
US001,T024,-22.35,2023/04/10,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,T025,-30.00,2023/04/09,TRANSFER_OUT_SAVINGS,Transfer,SV01,Savings Account,ACH,Chase Bank
US001,T026,-25.00,2023/04/08,FOOD_AND_DRINK_FAST_FOOD,Credit Card,MD01,McDonald's,Mastercard,Capital One
US001,T027,-14.99,2023/04/07,GENERAL_SERVICES_EDUCATION,Credit Card,UD01,Udemy,Mastercard,Capital One
US001,T028,-18.75,2023/04/06,FOOD_AND_DRINK_GROCERIES,Debit Card,TR01,Trader Joe's,Visa,Chase Bank
US001,T029,-9.99,2023/04/05,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Mastercard,Capital One
US001,T030,-15.00,2023/04/04,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,Local Gym,Mastercard,Capital One
US001,T031,-22.35,2023/04/03,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,T032,-7.50,2023/04/02,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Mastercard,Capital One
US001,T033,-34.99,2023/04/01,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AM01,Amazon,Mastercard,Capital One
US001,T034,-49.99,2023/04/01,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Payment,IC01,Comcast,ACH,Chase Bank
US001,T035,-30.00,2023/04/01,TRANSFER_OUT_SAVINGS,Transfer,SV01,Savings Account,ACH,Chase Bank
