User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,5500.00,2024/02/15,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-150.25,2024/02/15,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,Chase Bank
US001,T003,-89.99,2024/02/16,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,MASTERCARD,American Express
US001,T004,-2200.00,2024/02/16,RENT_AND_UTILITIES_RENT,Bank Transfer,LND01,Luxury Apartments LLC,ACH,Chase Bank
US001,T005,-75.50,2024/02/17,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST01,Steakhouse Deluxe,VISA,Chase Bank
US001,T006,-120.00,2024/02/18,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,GYM01,Elite Fitness Club,VISA,Bank of America
US001,T007,-45.99,2024/02/18,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELEC01,Best Buy,MASTERCARD,American Express
US001,T008,-35.00,2024/02/19,TRANSPORTATION_GAS,Credit Card,GAS01,Shell,VISA,Chase Bank
US001,T009,-15.75,2024/02/19,FOOD_AND_DRINK_COFFEE,Credit Card,COF01,Starbucks,MASTERCARD,American Express
US001,T010,-250.00,2024/02/20,LOAN_PAYMENTS_CAR_PAYMENT,Automatic Debit,AUT01,AutoFinance Corp,ACH,Chase Bank
US001,T011,-180.50,2024/02/20,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CLT01,Nordstrom,VISA,Chase Bank
US001,T012,-65.00,2024/02/21,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Debit Card,ENT02,City Museum,VISA,Bank of America
US001,T013,-22.50,2024/02/21,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,McDonald's,MASTERCARD,American Express
US001,T014,-150.00,2024/02/22,MEDICAL_PRIMARY_CARE,Credit Card,MED01,City Health Clinic,VISA,Chase Bank
US001,T015,-85.75,2024/02/22,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PET01,PetSmart,MASTERCARD,American Express
US001,T016,-500.00,2024/02/23,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Bank Transfer,CCR01,Chase Credit Services,ACH,Chase Bank
US001,T017,-120.00,2024/02/23,HOME_IMPROVEMENT_FURNITURE,Credit Card,FUR01,IKEA,VISA,Chase Bank
US001,T018,-55.00,2024/02/24,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,MASTERCARD,American Express
US001,T019,-180.25,2024/02/24,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Safeway,VISA,Bank of America
US001,T020,-45.00,2024/02/25,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,SAL01,Supercuts,VISA,Chase Bank
US001,T021,-30.99,2024/02/25,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,Credit Card,BOK01,Barnes & Noble,MASTERCARD,American Express
US001,T022,-1500.00,2024/02/26,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Automatic Debit,MTG01,HomeLoans Inc,ACH,Chase Bank
US001,T023,-75.50,2024/02/26,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST02,Olive Garden,VISA,Chase Bank
US001,T024,-200.00,2024/02/27,GENERAL_SERVICES_INSURANCE,Automatic Debit,INS01,AllState Insurance,ACH,Chase Bank
US001,T025,-40.00,2024/02/27,TRANSPORTATION_GAS,Debit Card,GAS02,Chevron,VISA,Bank of America
US001,T026,-129.99,2024/02/28,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Debit,CAB01,Comcast,ACH,Chase Bank
US001,T027,-95.00,2024/02/28,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SPT01,Dick's Sporting Goods,MASTERCARD,American Express
US001,T028,-60.50,2024/02/29,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST03,Cheesecake Factory,VISA,Chase Bank
US001,T029,-35.00,2024/02/29,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAM01,Steam,MASTERCARD,American Express
