User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,4500.00,2023/05/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Corp Inc,ACH,Chase Bank
US001,T002,-1800.00,2023/05/01,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Automatic Debit,MTG01,HomeLoans LLC,ACH,Chase Bank
US001,T003,-89.99,2023/05/01,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GM01,Steam,Visa,Chase Bank
US001,T004,-45.50,2023/05/02,FOOD_AND_DRINK_RESTAURANT,Credit Card,FD01,Burger King,Mastercard,Capital One
US001,T005,-200.00,2023/05/03,ENTERTAINMENT_CASINOS_AND_GAMBLING,Debit Card,CAS01,Lucky Star Casino,Visa,Chase Bank
US001,T006,-120.00,2023/05/03,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,GM02,Nike Store,Amex,American Express
US001,T007,-65.75,2023/05/04,FOOD_AND_DRINK_GROCERIES,Debit Card,FD02,Whole Foods,Visa,Chase Bank
US001,T008,-12.99,2023/05/04,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,ENT01,Spotify,Mastercard,Capital One
US001,T009,-350.00,2023/05/05,LOAN_PAYMENTS_CAR_PAYMENT,Automatic Debit,AUT01,CarFinance Corp,ACH,Chase Bank
US001,T010,-80.00,2023/05/05,TRANSPORTATION_GAS,Credit Card,TR01,Shell Gas Station,Visa,Chase Bank
US001,T011,-150.00,2023/05/06,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Debit Card,ENT02,Six Flags,Visa,Chase Bank
US001,T012,-25.50,2023/05/06,FOOD_AND_DRINK_RESTAURANT,Credit Card,FD03,Chipotle,Mastercard,Capital One
US001,T013,-500.00,2023/05/07,TRANSFER_OUT_SAVINGS,Online Transfer,SAV01,High Yield Savings,ACH,Ally Bank
US001,T014,-200.00,2023/05/08,ENTERTAINMENT_CASINOS_AND_GAMBLING,Debit Card,CAS02,Online Poker,Visa,Chase Bank
US001,T015,-55.00,2023/05/08,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,PC01,24 Hour Fitness,Amex,American Express
US001,T016,-18.99,2023/05/09,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT03,Netflix,Mastercard,Capital One
US001,T017,-75.00,2023/05/09,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,GM03,Best Buy,Visa,Chase Bank
US001,T018,-40.00,2023/05/10,FOOD_AND_DRINK_RESTAURANT,Debit Card,FD04,Cheesecake Factory,Visa,Chase Bank
US001,T019,-30.00,2023/05/10,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,TR02,Uber,Mastercard,Capital One
US001,T020,-150.00,2023/05/11,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Online Payment,CC01,Chase Credit Card,ACH,Chase Bank
US001,T021,-85.00,2023/05/11,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,GM04,Macy's,Amex,American Express
US001,T022,-60.00,2023/05/12,FOOD_AND_DRINK_GROCERIES,Debit Card,FD05,Trader Joe's,Visa,Chase Bank
US001,T023,-300.00,2023/05/12,ENTERTAINMENT_CASINOS_AND_GAMBLING,Debit Card,CAS03,MGM Grand Online,Visa,Chase Bank
US001,T024,-15.99,2023/05/13,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FD06,McDonald's,Mastercard,Capital One
US001,T025,-50.00,2023/05/13,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,GM05,Amazon,Visa,Chase Bank
US001,T026,-100.00,2023/05/14,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Debit Card,ENT04,NBA Game Tickets,Visa,Chase Bank
US001,T027,-35.00,2023/05/14,FOOD_AND_DRINK_RESTAURANT,Credit Card,FD07,Olive Garden,Amex,American Express
US001,T028,-70.00,2023/05/15,TRANSPORTATION_GAS,Debit Card,TR03,Exxon,Visa,Chase Bank
US001,T029,-250.00,2023/05/15,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,CAS04,DraftKings,Mastercard,Capital One
US001,T030,-45.00,2023/05/15,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,GM06,Dick's Sporting Goods,Visa,Chase Bank
