User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023-03-31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-45.67,2023-03-31,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,-12.99,2023-03-30,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,DIG01,Spotify,Mastercard,Capital One
US001,T004,-89.99,2023-03-30,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,Visa,Chase Bank
US001,T005,-35.50,2023-03-29,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST01,Cheesecake Factory,Mastercard,Capital One
US001,T006,-60.00,2023-03-28,TRANSPORTATION_GAS,Debit Card,GAS01,Shell,Visa,Chase Bank
US001,T007,-14.99,2023-03-28,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,STR01,Netflix,Mastercard,Capital One
US001,T008,-75.00,2023-03-27,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,24 Hour Fitness,Visa,Chase Bank
US001,T009,-22.50,2023-03-26,FOOD_AND_DRINK_FAST_FOOD,Debit Card,FF01,Chipotle,Visa,Chase Bank
US001,T010,-129.99,2023-03-25,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nike,Mastercard,Capital One
US001,T011,-9.99,2023-03-24,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAM01,Steam,Visa,Chase Bank
US001,T012,-42.00,2023-03-23,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,T013,-65.00,2023-03-22,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RIDE01,Uber,Mastercard,Capital One
US001,T014,-18.99,2023-03-21,FOOD_AND_DRINK_COFFEE,Debit Card,COF01,Starbucks,Visa,Chase Bank
US001,T015,-55.00,2023-03-20,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,SAL01,SuperCuts,Visa,Chase Bank
US001,T016,-39.99,2023-03-19,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,ONL01,Amazon,Mastercard,Capital One
US001,T017,-29.99,2023-03-18,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,STR02,Hulu,Visa,Chase Bank
US001,T018,-80.00,2023-03-18,FOOD_AND_DRINK_RESTAURANT,Debit Card,REST02,Olive Garden,Visa,Chase Bank
US001,T019,-12.99,2023-03-17,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,DIG01,Spotify,Mastercard,Capital One
US001,T020,-45.00,2023-03-17,TRANSPORTATION_GAS,Debit Card,GAS02,Chevron,Visa,Chase Bank
US001,T021,-25.00,2023-03-16,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF02,Five Guys,Mastercard,Capital One
US001,T022,-199.99,2023-03-16,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL02,Apple Store,Visa,Chase Bank
US001,T023,-14.99,2023-03-28,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,STR01,Netflix,Mastercard,Capital One
US001,T024,-75.00,2023-03-27,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,24 Hour Fitness,Visa,Chase Bank
US001,T025,-50.00,2023-03-26,FOOD_AND_DRINK_GROCERIES,Debit Card,GR03,Safeway,Visa,Chase Bank
US001,T026,-35.00,2023-03-25,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RIDE02,Lyft,Mastercard,Capital One
US001,T027,-89.99,2023-03-24,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SPT01,Dick's Sporting Goods,Visa,Chase Bank
US001,T028,-18.99,2023-03-23,FOOD_AND_DRINK_COFFEE,Debit Card,COF01,Starbucks,Visa,Chase Bank
US001,T029,-60.00,2023-03-22,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,ENT01,Local Museum,Mastercard,Capital One
US001,T030,-42.00,2023-03-21,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,T031,-29.99,2023-03-20,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,Credit Card,BOOK01,Barnes & Noble,Visa,Chase Bank
US001,T032,-15.00,2023-03-19,FOOD_AND_DRINK_FAST_FOOD,Debit Card,FF03,Subway,Visa,Chase Bank
US001,T033,-39.99,2023-03-18,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,ONL01,Amazon,Mastercard,Capital One
US001,T034,-55.00,2023-03-17,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST03,Red Lobster,Visa,Chase Bank
US001,T035,-20.00,2023-03-16,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAM02,PlayStation Store,Mastercard,Capital One
