User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3250.00,2023/05/15,INCOME_WAGES,Direct Deposit,EMP01,TechCorp Inc.,ACH,Chase Bank
US001,T002,-12.99,2023/05/16,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,VISA,Chase Bank
US001,T003,-45.67,2023/05/16,FOOD_AND_DRINK_GROCERIES,Debit Card,WF01,Whole Foods,VISA,Chase Bank
US001,T004,-9.99,2023/05/17,GENERAL_SERVICES_EDUCATION,Credit Card,SK01,Skillshare,MASTERCARD,Chase Bank
US001,T005,-3.50,2023/05/17,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,T006,-14.99,2023/05/18,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,VISA,Chase Bank
US001,T007,-22.50,2023/05/19,FOOD_AND_DRINK_RESTAURANT,Credit Card,CH01,Chipotle,MASTERCARD,Chase Bank
US001,T008,-35.00,2023/05/20,TRANSPORTATION_GAS,Debit Card,SH01,Shell,VISA,Chase Bank
US001,T009,-7.99,2023/05/21,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AM01,Amazon Prime,VISA,Chase Bank
US001,T010,-55.00,2023/05/21,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,TJ01,TJ Maxx,MASTERCARD,Chase Bank
US001,T011,-9.99,2023/05/22,GENERAL_SERVICES_EDUCATION,Credit Card,UD01,Udemy,VISA,Chase Bank
US001,T012,-3.50,2023/05/22,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,T013,-65.32,2023/05/23,FOOD_AND_DRINK_GROCERIES,Debit Card,TJ02,Trader Joe's,VISA,Chase Bank
US001,T014,-12.99,2023/05/24,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,VISA,Chase Bank
US001,T015,-29.99,2023/05/24,GENERAL_SERVICES_EDUCATION,Credit Card,CR01,Coursera,MASTERCARD,Chase Bank
US001,T016,-18.50,2023/05/25,FOOD_AND_DRINK_RESTAURANT,Credit Card,PF01,Panera Bread,VISA,Chase Bank
US001,T017,-40.00,2023/05/26,TRANSPORTATION_GAS,Debit Card,EX01,Exxon,VISA,Chase Bank
US001,T018,-15.99,2023/05/26,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,UL01,Ulta,MASTERCARD,Chase Bank
US001,T019,-9.99,2023/05/27,GENERAL_SERVICES_EDUCATION,Credit Card,SK01,Skillshare,MASTERCARD,Chase Bank
US001,T020,-3.50,2023/05/27,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,T021,-52.45,2023/05/28,FOOD_AND_DRINK_GROCERIES,Debit Card,WF01,Whole Foods,VISA,Chase Bank
US001,T022,-14.99,2023/05/28,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,VISA,Chase Bank
US001,T023,-25.00,2023/05/29,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,PL01,Planet Fitness,MASTERCARD,Chase Bank
US001,T024,-7.99,2023/05/29,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AM01,Amazon Prime,VISA,Chase Bank
US001,T025,-19.99,2023/05/30,GENERAL_SERVICES_EDUCATION,Credit Card,LI01,LinkedIn Learning,VISA,Chase Bank
US001,T026,-3.50,2023/05/30,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,T027,-60.78,2023/05/31,FOOD_AND_DRINK_GROCERIES,Debit Card,TJ02,Trader Joe's,VISA,Chase Bank
US001,T028,-12.99,2023/05/31,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,VISA,Chase Bank
US001,T029,-35.00,2023/05/31,TRANSPORTATION_GAS,Debit Card,SH01,Shell,VISA,Chase Bank
US001,T030,-22.50,2023/05/31,FOOD_AND_DRINK_RESTAURANT,Credit Card,CH01,Chipotle,MASTERCARD,Chase Bank
US001,T031,-9.99,2023/05/31,GENERAL_SERVICES_EDUCATION,Credit Card,UD01,Udemy,VISA,Chase Bank
US001,T032,-500.00,2023/05/31,TRANSFER_OUT_SAVINGS,Online Transfer,CH02,Chase Savings,ACH,Chase Bank
US001,T033,-75.00,2023/05/31,LOAN_PAYMENTS_STUDENT_LOAN_PAYMENT,Online Payment,SL01,StudentLoan Corp,ACH,Chase Bank
US001,T034,-800.00,2023/05/31,RENT_AND_UTILITIES_RENT,Online Payment,AP01,Apartment LLC,ACH,Chase Bank
US001,T035,-120.00,2023/05/31,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Online Payment,CM01,Comcast,ACH,Chase Bank
