User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023-04-30,INCOME_WAGES,Direct Deposit,EMP01,ABC Corp,ACH,Chase Bank
US001,T002,-85.32,2023-04-30,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,-45.99,2023-04-29,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,Visa,Chase Bank
US001,T004,-12.50,2023-04-29,FOOD_AND_DRINK_COFFEE,Debit Card,COF01,Starbucks,Visa,Chase Bank
US001,T005,-65.75,2023-04-28,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST01,Cheesecake Factory,Visa,Chase Bank
US001,T006,-35.00,2023-04-27,TRANSPORTATION_GAS,Credit Card,GAS01,Shell,Visa,Chase Bank
US001,T007,-120.50,2023-04-26,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CLO01,Macy's,Visa,Chase Bank
US001,T008,-9.99,2023-04-26,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,Visa,Chase Bank
US001,T009,-55.00,2023-04-25,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,LA Fitness,Visa,Chase Bank
US001,T010,-22.50,2023-04-24,FOOD_AND_DRINK_FAST_FOOD,Debit Card,FF01,Chipotle,Visa,Chase Bank
US001,T011,-150.00,2023-04-23,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELEC01,Best Buy,Visa,Chase Bank
US001,T012,-40.00,2023-04-22,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,ENT02,Local Cinema,Visa,Chase Bank
US001,T013,-75.25,2023-04-21,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,T014,-30.00,2023-04-20,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RIDE01,Uber,Visa,Chase Bank
US001,T015,-18.99,2023-04-19,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Debit Card,LIQ01,Total Wine,Visa,Chase Bank
US001,T016,-89.99,2023-04-18,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,ONL01,Amazon,Visa,Chase Bank
US001,T017,-45.00,2023-04-17,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,HAIR01,SuperCuts,Visa,Chase Bank
US001,T018,-12.50,2023-04-17,FOOD_AND_DRINK_COFFEE,Debit Card,COF01,Starbucks,Visa,Chase Bank
US001,T019,-60.00,2023-04-16,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST02,Olive Garden,Visa,Chase Bank
US001,T020,-35.00,2023-04-16,TRANSPORTATION_GAS,Credit Card,GAS02,Exxon,Visa,Chase Bank
US001,T021,-14.99,2023-04-16,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAME01,Steam,Visa,Chase Bank
US001,T022,-25.00,2023-04-15,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT03,Hulu,Visa,Chase Bank
US001,T023,-42.50,2023-04-15,FOOD_AND_DRINK_FAST_FOOD,Debit Card,FF02,Five Guys,Visa,Chase Bank
US001,T024,-80.00,2023-04-15,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SPORT01,Dick's Sporting Goods,Visa,Chase Bank
US001,T025,-15.00,2023-04-15,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS02,Apple Music,Visa,Chase Bank
US001,T026,-55.00,2023-04-15,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,LA Fitness,Visa,Chase Bank
US001,T027,-95.75,2023-04-15,FOOD_AND_DRINK_GROCERIES,Credit Card,GR03,Kroger,Visa,Chase Bank
US001,T028,-1200.00,2023-04-15,RENT_AND_UTILITIES_RENT,Bank Transfer,RENT01,Apartment Complex,ACH,Chase Bank
US001,T029,-85.00,2023-04-15,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Credit Card,INT01,Comcast,Visa,Chase Bank
US001,T030,-60.00,2023-04-15,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Bank Transfer,UTIL01,Local Utility Company,ACH,Chase Bank
US001,T031,-40.00,2023-04-15,RENT_AND_UTILITIES_WATER,Bank Transfer,UTIL02,City Water Department,ACH,Chase Bank
US001,T032,-70.00,2023-04-15,TRANSPORTATION_PUBLIC_TRANSIT,Credit Card,TRANS01,Metro Card,Visa,Chase Bank
US001,T033,-12.50,2023-04-15,FOOD_AND_DRINK_COFFEE,Debit Card,COF01,Starbucks,Visa,Chase Bank
US001,T034,-45.99,2023-04-15,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,Visa,Chase Bank
US001,T035,-9.99,2023-04-15,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,Visa,Chase Bank
