User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,7500.00,2023/04/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc.,ACH,Wells Fargo
US001,A002,125.50,2023/04/01,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,Chase Sapphire
US001,A003,89.99,2023/04/02,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,MASTERCARD,American Express
US001,A004,350.00,2023/04/02,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,BEA01,Luxury Spa,VISA,Chase Sapphire
US001,A005,75.00,2023/04/03,TRANSPORTATION_GAS,Credit Card,GAS01,Shell,VISA,Chase Sapphire
US001,A006,1500.00,2023/04/03,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Auto Debit,MTG01,HomeLoans Inc.,ACH,Wells Fargo
US001,A007,200.00,2023/04/04,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nordstrom,MASTERCARD,American Express
US001,A008,150.00,2023/04/04,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST01,Le Bernardin,VISA,Chase Sapphire
US001,A009,50.00,2023/04/05,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,MASTERCARD,American Express
US001,A010,300.00,2023/04/05,GENERAL_SERVICES_INSURANCE,Auto Debit,INS01,State Farm,ACH,Wells Fargo
US001,A011,75.00,2023/04/06,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,VISA,Chase Sapphire
US001,A012,120.00,2023/04/06,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Credit Card,PH01,CVS Pharmacy,MASTERCARD,American Express
US001,A013,2000.00,2023/04/07,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,Bank Transfer,INV01,Vanguard,ACH,Wells Fargo
US001,A014,85.00,2023/04/07,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GYM01,Equinox,VISA,Chase Sapphire
US001,A015,60.00,2023/04/08,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RIDE01,Uber,MASTERCARD,American Express
US001,A016,500.00,2023/04/08,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELEC01,Best Buy,VISA,Chase Sapphire
US001,A017,200.00,2023/04/09,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST02,Nobu,MASTERCARD,American Express
US001,A018,150.00,2023/04/09,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,ENT02,MoMA,VISA,Chase Sapphire
US001,A019,80.00,2023/04/10,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,Chase Sapphire
US001,A020,250.00,2023/04/10,HOME_IMPROVEMENT_FURNITURE,Credit Card,FUR01,West Elm,MASTERCARD,American Express
US001,A021,100.00,2023/04/11,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL02,Saks Fifth Avenue,VISA,Chase Sapphire
US001,A022,75.00,2023/04/11,TRANSPORTATION_GAS,Credit Card,GAS02,ExxonMobil,MASTERCARD,American Express
US001,A023,450.00,2023/04/12,TRAVEL_FLIGHTS,Credit Card,AIR01,Delta Airlines,VISA,Chase Sapphire
US001,A024,300.00,2023/04/12,TRAVEL_LODGING,Credit Card,HOT01,Marriott,MASTERCARD,American Express
US001,A025,95.00,2023/04/13,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST03,The Capital Grille,VISA,Chase Sapphire
US001,A026,200.00,2023/04/13,GENERAL_MERCHANDISE_GIFTS_AND_NOVELTIES,Credit Card,GIFT01,Tiffany & Co.,MASTERCARD,American Express
US001,A027,150.00,2023/04/14,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,BEA02,Sephora,VISA,Chase Sapphire
US001,A028,50.00,2023/04/14,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GAME01,Steam,MASTERCARD,American Express
US001,A029,500.00,2023/04/15,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Auto Debit,CC01,American Express,ACH,Wells Fargo
US001,A030,400.00,2023/04/15,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Auto Debit,CC02,Chase,ACH,Wells Fargo
US001,A031,180.00,2023/04/15,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Auto Debit,UTIL01,Comcast,ACH,Wells Fargo
US001,A032,100.00,2023/04/15,GOVERNMENT_AND_NON_PROFIT_DONATIONS,Credit Card,DNT01,Red Cross,VISA,Chase Sapphire
US001,A033,85.00,2023/04/15,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,MASTERCARD,American Express
US001,A034,65.00,2023/04/15,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT03,AMC Theatres,VISA,Chase Sapphire
US001,A035,120.00,2023/04/15,FOOD_AND_DRINK_RESTAURANT,Credit Card,REST04,Cheesecake Factory,MASTERCARD,American Express
