User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,001000001,85000.0,2025-01-06,salary,Bank Transfer,SAL001,ABC Corporation,NEFT,HDFC
US002,001000021,45000.0,2025-01-06,salary,Bank Transfer,SAL002,XYZ Pvt Ltd,NEFT,SBI
US005,001000081,95000.0,2025-01-06,salary,Bank Transfer,SAL005,Consulting Firm,NEFT,ICICI
US004,001000061,35000.0,2025-01-06,salary,Bank Transfer,SAL004,Retail Chain,NEFT,KOTAK
US003,001000041,120000.0,2025-01-06,salary,Bank Transfer,SAL003,Tech Solutions,NEFT,AXIS
US005,001000082,-2000.0,2025-02-06,rent,UPI,RNT005,Villa Owner,UPI,ICICI
US002,001000022,-800.0,2025-02-06,rent,UPI,RNT002,Property Owner,UPI,SBI
US003,001000042,-2500.0,2025-02-06,rent,UPI,RNT003,Apartment Complex,UPI,AXIS
US004,001000062,-700.0,2025-02-06,rent,UPI,RNT004,Flat Owner,UPI,KOTAK
US001,001000003,-350.0,2025-02-06,groceries,Debit Card,GRC001,BigBasket,VISA,HDFC
US001,001000002,-1200.0,2025-02-06,rent,UPI,RNT001,Landlord,UPI,HDFC
US004,001000063,-200.0,2025-03-06,groceries,Debit Card,GRC010,Local Kirana,MASTERCARD,KOTAK
US005,001000083,-500.0,2025-03-06,groceries,Credit Card,GRC013,Fresh To Home,VISA,HDFC
US001,001000004,-45.0,2025-03-06,transportation,UPI,TRP001,Uber,UPI,HDFC
US003,001000043,-650.0,2025-03-06,groceries,Credit Card,GRC007,Godrej Nature's Basket,MASTERCARD,AMEX
US002,001000023,-250.0,2025-03-06,groceries,Debit Card,GRC004,More Supermarket,RUPAY,SBI
US003,001000044,-150.0,2025-04-06,transportation,UPI,TRP006,Uber Eats,UPI,AXIS
US001,001000005,-2500.0,2025-04-06,shopping,Credit Card,SHP001,Amazon,VISA,ICICI
US005,001000084,-120.0,2025-04-06,transportation,UPI,TRP011,Bounce,UPI,ICICI
