User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,2750.00,2024/02/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,B001,-45.99,2024/02/01,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,C001,-12.50,2024/02/02,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Capital One
US001,D001,-89.99,2024/02/02,GENERAL_SERVICES_EDUCATION,Credit Card,ED01,Coursera,Visa,Chase Bank
US001,E001,-35.00,2024/02/03,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,F001,-22.50,2024/02/03,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Chipotle,Mastercard,Capital One
US001,G001,-15.99,2024/02/04,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,Visa,Chase Bank
US001,H001,-65.00,2024/02/05,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,H&M,Mastercard,Capital One
US001,I001,-10.99,2024/02/06,FOOD_AND_DRINK_COFFEE,Debit Card,CF02,Dunkin' Donuts,Visa,Chase Bank
US001,J001,-55.00,2024/02/07,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,K001,-9.99,2024/02/08,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,TV01,Netflix,Mastercard,Capital One
US001,L001,-30.00,2024/02/08,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,Planet Fitness,Visa,Chase Bank
US001,M001,-42.50,2024/02/09,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Local Bistro,Mastercard,Capital One
US001,N001,-25.00,2024/02/10,TRANSPORTATION_GAS,Debit Card,GS01,Shell,Visa,Chase Bank
US001,O001,-18.99,2024/02/10,GENERAL_MERCHANDISE_BOOKS_AND_NEWSSTANDS,Credit Card,BK01,Barnes & Noble,Mastercard,Capital One
US001,P001,-75.00,2024/02/11,GENERAL_SERVICES_EDUCATION,Credit Card,ED02,Udemy,Visa,Chase Bank
US001,Q001,-40.00,2024/02/12,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,R001,-12.99,2024/02/12,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Capital One
US001,S001,-35.00,2024/02/13,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,Visa,Chase Bank
US001,T001,-29.99,2024/02/13,GENERAL_MERCHANDISE_OFFICE_SUPPLIES,Credit Card,OS01,Staples,Mastercard,Capital One
US001,U001,-50.00,2024/02/14,TRANSFER_OUT_SAVINGS,Transfer,SV01,Chase Savings,ACH,Chase Bank
US001,V001,-20.00,2024/02/14,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF02,Subway,Visa,Chase Bank
US001,W001,-14.99,2024/02/15,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,Visa,Chase Bank
US001,X001,-60.00,2024/02/15,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,Visa,Chase Bank
