User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,5500.00,2023/03/31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc.,ACH,Chase Bank
US001,T002,-150.25,2023/03/30,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,American Express
US001,T003,-89.99,2023/03/30,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ENT01,Netflix,VISA,American Express
US001,T004,-2200.00,2023/03/29,RENT_AND_UTILITIES_RENT,Bank Transfer,LND01,Luxury Apartments,ACH,Chase Bank
US001,T005,-120.50,2023/03/29,TRANSPORTATION_GAS,Credit Card,GS01,Shell,Mastercard,Bank of America
US001,T006,-75.80,2023/03/28,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST01,Steakhouse Grill,VISA,American Express
US001,T007,-45.00,2023/03/27,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,GYM01,FitLife Gym,VISA,Chase Bank
US001,T008,-189.99,2023/03/26,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,ELC01,Best Buy,Mastercard,Bank of America
US001,T009,-35.00,2023/03/25,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MUS01,Spotify,VISA,American Express
US001,T010,-550.00,2023/03/24,LOAN_PAYMENTS_CAR_PAYMENT,Bank Transfer,AUT01,AutoFinance Corp,ACH,Chase Bank
US001,T011,-98.75,2023/03/24,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,VISA,Chase Bank
US001,T012,-65.00,2023/03/23,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,SAL01,Luxe Salon,Mastercard,Bank of America
US001,T013,-220.00,2023/03/22,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nordstrom,VISA,American Express
US001,T014,-180.50,2023/03/21,HOME_IMPROVEMENT_FURNITURE,Credit Card,FRN01,Pottery Barn,Mastercard,Bank of America
US001,T015,-45.99,2023/03/20,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST02,Sushi Delight,VISA,American Express
US001,T016,-1200.00,2023/03/20,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Bank Transfer,MTG01,HomeLoans Inc.,ACH,Chase Bank
US001,T017,-110.00,2023/03/19,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RD01,Uber,VISA,American Express
US001,T018,-75.50,2023/03/18,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,VISA,Chase Bank
US001,T019,-250.00,2023/03/18,GENERAL_SERVICES_INSURANCE,Bank Transfer,INS01,AllState Insurance,ACH,Chase Bank
US001,T020,-60.00,2023/03/17,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,ENT02,City Museum,Mastercard,Bank of America
US001,T021,-95.75,2023/03/17,FOOD_AND_DRINK_RESTAURANT,Credit Card,RST03,Italian Trattoria,VISA,American Express
US001,T022,-150.00,2023/03/16,MEDICAL_DENTAL_CARE,Credit Card,MED01,Smile Dental Clinic,Mastercard,Bank of America
US001,T023,-85.00,2023/03/16,GENERAL_MERCHANDISE_PET_SUPPLIES,Debit Card,PET01,PetSmart,VISA,Chase Bank
US001,T024,-200.00,2023/03/16,TRANSFER_OUT_SAVINGS,Bank Transfer,SAV01,High Yield Savings,ACH,Chase Bank
US001,T025,-45.99,2023/03/15,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Chipotle,VISA,American Express
US001,T026,-129.99,2023/03/15,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Bank Transfer,ISP01,Comcast,ACH,Chase Bank
US001,T027,-80.00,2023/03/15,TRANSPORTATION_GAS,Credit Card,GS02,Exxon,Mastercard,Bank of America
US001,T028,-350.00,2023/03/15,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Bank Transfer,CC01,American Express,ACH,Chase Bank
US001,T029,-55.00,2023/03/15,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,GYM01,FitLife Gym,VISA,Chase Bank
US001,T030,-120.50,2023/03/15,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL02,Macy's,VISA,American Express
US001,T031,-40.00,2023/03/15,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GM01,Steam,Mastercard,Bank of America
US001,T032,-65.75,2023/03/15,FOOD_AND_DRINK_GROCERIES,Debit Card,GR03,Safeway,VISA,Chase Bank
US001,T033,-25.00,2023/03/15,FOOD_AND_DRINK_COFFEE,Credit Card,COF01,Starbucks,VISA,American Express
US001,T034,-180.00,2023/03/15,GENERAL_SERVICES_AUTOMOTIVE,Credit Card,AUT02,QuickLube Auto Service,Mastercard,Bank of America
US001,T035,-50.00,2023/03/15,GOVERNMENT_AND_NON_PROFIT_DONATIONS,Credit Card,CHR01,Red Cross,VISA,American Express
