loan_id,loan_type,interest_rate_range,term_length,minimum_amount,maximum_amount,required_credit_score,processing_fee,bank_name
LN1,Personal Loan,"6.99% - 19.99%","1-5 years",$3000,$35000,680+,"$0",Chase
LN2,Auto Loan,"3.49% - 7.99%","24-72 months",$5000,$100000,660+,"0.75%",Bank of America
LN3,Mortgage,"4.25% - 6.50%","15 or 30 years",$100000,$5000000,700+,"1% of loan amount",Wells Fargo
LN4,Home Equity Loan,"5.75% - 9.25%","5-20 years",$25000,$250000,680+,"$75",Citibank
LN5,Small Business Loan,"7.50% - 18.00%","1-10 years",$10000,$500000,650+,"2.5% of loan amount",US Bank
LN6,Student Loan,"4.50% - 10.00%","5-15 years",$5000,$100000,650+,"$0",Discover
LN7,Debt Consolidation Loan,"6.99% - 21.99%","36-60 months",$5000,$50000,660+,"1.5% of loan amount",Capital One
LN8,Personal Line of Credit,"9.99% - 18.75%","Revolving",$1500,$25000,690+,"$0",PNC Bank
LN9,FHA Mortgage,"3.99% - 5.50%","15 or 30 years",$50000,$765600,580+,"1.75% upfront + 0.85% annual",Wells Fargo
LN10,VA Home Loan,"4.25% - 5.75%","15 or 30 years",$75000,$1500000,620+,"1.4% to 3.6% funding fee",Chase
LN11,Equipment Financing,"5.99% - 25.00%","2-7 years",$10000,$250000,640+,"1% to 3%",TD Bank
LN12,Commercial Real Estate Loan,"5.25% - 9.75%","5-25 years",$250000,$10000000,700+,"1% of loan amount",Bank of America
LN13,Motorcycle Loan,"4.99% - 11.99%","24-84 months",$3000,$40000,660+,"$75",US Bank
LN14,RV Loan,"5.49% - 13.99%","5-15 years",$10000,$150000,670+,"$125",Capital One
LN15,Boat Loan,"5.99% - 12.99%","4-20 years",$15000,$200000,680+,"$150",Truist Bank
LN16,Medical Loan,"6.50% - 22.99%","6-60 months",$1000,$50000,640+,"$0",Discover
LN17,Wedding Loan,"7.99% - 17.99%","1-7 years",$5000,$35000,650+,"1% of loan amount",PNC Bank
LN18,Home Improvement Loan,"5.99% - 15.99%","2-12 years",$5000,$100000,670+,"$95",Citibank
