card_id,userid,card_limit,annual_charges,Issuer,payment_network
50,1,50000,1000,HDFC Bank,Visa
2,1,75000,1500,ICICI Bank,Mastercard
23,2,30000,500,Axis Bank,Visa
4,2,40000,750,SBI Card,RuPay
45,3,100000,2000,Citibank,Mastercard
6,3,80000,1800,American Express,American Express
7,3,60000,1200,HDFC Bank,Visa
8,4,25000,250,Kotak Mahindra Bank,Visa
29,4,35000,500,Yes Bank,Mastercard
10,5,90000,1800,ICICI Bank,Visa
11,5,70000,1500,Standard Chartered,Mastercard
2,6,120000,2500,HDFC Bank,Visa
13,6,100000,2000,Axis Bank,Mastercard
24,6,80000,1500,SBI Card,Visa
15,6,60000,1000,ICICI Bank,RuPay
16,7,20000,0,Bank of Baroda,RuPay
1,7,30000,250,Punjab National Bank,Visa
18,8,65000,1200,HDFC Bank,Mastercard
19,8,55000,1000,Axis Bank,Visa
20,9,85000,1800,Citibank,Mastercard
21,9,75000,1500,ICICI Bank,Visa
22,9,65000,1200,SBI Card,RuPay
1,10,45000,750,Kotak Mahindra Bank,Visa
24,10,55000,1000,Yes Bank,Mastercard
1,10,35000,500,HDFC Bank,Visa
