card_id,card_name,annual_fee,rewards_rate,welcome_bonus,apr_range,credit_score_requirement,benefits,issuer,payment_network,cashback_categories
CC1,Chase Sapphire Preferred,$95,"2X points on travel, 3X on dining, 1X on all other purchases","60,000 bonus points after spending $4,000 in first 3 months","18.99% - 25.99%",740-850,"Travel insurance, no foreign transaction fees, 1:1 point transfer to airline partners, 25% more value when redeeming for travel",Chase,Visa,"Dining, Travel, Streaming services"
CC2,Capital One Venture X,$395,"2X miles on all purchases, 5X on flights, 10X on hotels","75,000 miles after spending $4,000 in first 3 months","19.99% - 26.99%",760-850,"$300 annual travel credit, Priority Pass lounge access, TSA PreCheck or Global Entry credit, 10,000 anniversary bonus miles",Capital One,Visa,"Travel, Hotels, Car rentals"
CC3,Citi Double Cash,$0,"1% when you buy, 1% when you pay","$200 cash back after spending $1,500 in first 6 months","16.99% - 26.99%",690-850,"0% intro APR for 18 months on balance transfers, access to Citi Entertainment, virtual account numbers, late fee pass",Citi,Mastercard,"All purchases"
CC4,American Express Gold,$250,"4X points at restaurants, 4X at U.S. supermarkets, 3X on flights, 1X on other purchases","60,000 Membership Rewards points after spending $4,000 in first 6 months","18.99% - 25.99%",700-850,"$120 dining credit, $120 Uber Cash, baggage insurance, no foreign transaction fees",American Express,American Express,"Dining, Groceries, Airfare"
CC5,Discover it Cash Back,$0,"5% cash back in rotating quarterly categories (up to $1,500), 1% on all other purchases","Cashback Match: Discover automatically matches all cash back earned in the first year","14.99% - 25.99%",670-850,"No annual fee, free FICO score, no foreign transaction fees, freeze your account in seconds",Discover,Discover,"Rotating categories (groceries, gas, restaurants, Amazon)"
CC6,Bank of America Premium Rewards,$95,"2X points on travel and dining, 1.5X on all other purchases","50,000 bonus points after spending $3,000 in first 90 days","17.99% - 24.99%",720-850,"$100 airline incidental credit, no foreign transaction fee, TSA PreCheck/Global Entry credit, Preferred Rewards bonus",Bank of America,Visa,"Travel, Dining, All purchases"
CC7,Wells Fargo Active Cash,$0,"2% cash rewards on all purchases","$200 cash rewards bonus after spending $1,000 in first 3 months","17.99% - 27.99%",690-850,"Cell phone protection, zero liability protection, 24/7 fraud monitoring, 0% intro APR for 15 months",Wells Fargo,Visa,"All purchases"
CC8,US Bank Altitude Reserve,$400,"3X points on travel and mobile wallet purchases, 1X on all other purchases","50,000 bonus points after spending $4,500 in first 90 days","19.99% - 26.99%",760-850,"$325 annual travel credit, Priority Pass Select membership, 12 complimentary Gogo inflight WiFi passes, TSA PreCheck/Global Entry credit",US Bank,Visa,"Travel, Mobile wallet purchases"
CC9,Chase Freedom Unlimited,$0,"1.5% cash back on all purchases, 3% on dining, 3% on drugstore purchases","$200 bonus after spending $500 in first 3 months","17.99% - 26.74%",670-850,"0% intro APR for 15 months, purchase protection, extended warranty protection, no minimum redemption amount",Chase,Visa,"All purchases, Dining, Drugstores"
CC10,Citi Premier,$95,"3X points on restaurants, supermarkets, gas stations, air travel and hotels, 1X on all other purchases","60,000 ThankYou Points after spending $4,000 in first 3 months","18.99% - 26.99%",720-850,"$100 annual hotel savings benefit, extended warranty, damage & theft protection, no foreign transaction fees",Citi,Mastercard,"Restaurants, Supermarkets, Gas stations, Air travel, Hotels"
