User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
U9,A001,-5250.0,2023/04/01,INCOME_WAGES,Direct Deposit,EMP01,TechCorp Inc.,ACH,Chase Bank
U9,A002,2500.0,2023/04/01,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Automatic Debit,MTG01,HomeLoans LLC,ACH,Chase Bank
U9,A003,150.0,2023/04/01,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,American Express
U9,A004,85.75,2023/04/02,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,Mastercard,Bank of America
U9,A005,65.0,2023/04/02,TRANSPORTATION_GAS,Credit Card,SH01,Shell,Visa,Chase Bank
U9,A006,120.5,2023/04/03,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Amex,American Express
U9,A007,45.0,2023/04/03,FOOD_AND_DRINK_RESTAURANT,Credit Card,SB01,Starbucks,Visa,Chase Bank
U9,A008,200.0,2023/04/04,GENERAL_SERVICES_INSURANCE,Automatic Debit,SF01,State Farm,ACH,Chase Bank
U9,A009,75.0,2023/04/04,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,EF01,Equinox Fitness,Mastercard,Bank of America
U9,A010,180.0,2023/04/05,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Visa,American Express
U9,A011,55.0,2023/04/06,FOOD_AND_DRINK_RESTAURANT,Credit Card,CM01,Cheesecake Factory,Mastercard,Bank of America
U9,A012,130.0,2023/04/07,HOME_IMPROVEMENT_FURNITURE,Credit Card,WE01,West Elm,Amex,American Express
U9,A013,40.0,2023/04/07,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Visa,Chase Bank
U9,A014,95.0,2023/04/08,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PT01,PetSmart,Mastercard,Bank of America
U9,A015,250.0,2023/04/08,LOAN_PAYMENTS_CAR_PAYMENT,Automatic Debit,TY01,Toyota Financial,ACH,Chase Bank
U9,A016,60.0,2023/04/09,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ01,Trader Joe's,Visa,Chase Bank
U9,A017,150.0,2023/04/10,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,BR01,Banana Republic,Amex,American Express
