User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,3500.00,2023/04/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,A002,-45.99,2023/04/01,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AMZ01,Amazon,Visa,Chase Bank
US001,A003,-12.50,2023/04/02,FOOD_AND_DRINK_COFFEE,Debit Card,SBX01,Starbucks,Visa,Chase Bank
US001,A004,-65.32,2023/04/02,FOOD_AND_DRINK_GROCERIES,Credit Card,WFM01,Whole Foods Market,Mastercard,Capital One
US001,A005,-14.99,2023/04/03,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SPT01,Spotify,Visa,Chase Bank
US001,A006,-9.99,2023/04/03,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NTF01,Netflix,Mastercard,Capital One
US001,A007,-35.00,2023/04/04,GENERAL_SERVICES_EDUCATION,Credit Card,UDM01,Udemy,Visa,Chase Bank
US001,A008,-22.50,2023/04/05,FOOD_AND_DRINK_RESTAURANT,Debit Card,CHP01,Chipotle,Visa,Chase Bank
US001,A009,-150.00,2023/04/05,TRANSFER_OUT_SAVINGS,Bank Transfer,SVG01,Chase Savings,ACH,Chase Bank
US001,A010,-45.00,2023/04/06,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,ULT01,Ulta Beauty,Mastercard,Capital One
US001,A011,-12.99,2023/04/07,FOOD_AND_DRINK_FAST_FOOD,Debit Card,MCD01,McDonald's,Visa,Chase Bank
US001,A012,-89.99,2023/04/08,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,TGT01,Target,Visa,Chase Bank
US001,A013,-55.00,2023/04/09,TRANSPORTATION_GAS,Credit Card,SHL01,Shell,Mastercard,Capital One
US001,A014,-14.99,2023/04/10,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SPT01,Spotify,Visa,Chase Bank
US001,A015,-9.99,2023/04/10,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NTF01,Netflix,Mastercard,Capital One
US001,A016,-32.50,2023/04/11,FOOD_AND_DRINK_GROCERIES,Debit Card,TRJ01,Trader Joe's,Visa,Chase Bank
US001,A017,-25.00,2023/04/12,GENERAL_SERVICES_EDUCATION,Credit Card,SKL01,Skillshare,Visa,Chase Bank
US001,A018,-18.99,2023/04/12,FOOD_AND_DRINK_RESTAURANT,Credit Card,PNR01,Panera Bread,Mastercard,Capital One
US001,A019,-150.00,2023/04/13,TRANSFER_OUT_SAVINGS,Bank Transfer,SVG01,Chase Savings,ACH,Chase Bank
US001,A020,-39.99,2023/04/13,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AMZ01,Amazon,Visa,Chase Bank
US001,A021,-12.50,2023/04/14,FOOD_AND_DRINK_COFFEE,Debit Card,SBX01,Starbucks,Visa,Chase Bank
US001,A022,-65.00,2023/04/14,FOOD_AND_DRINK_GROCERIES,Credit Card,WFM01,Whole Foods Market,Mastercard,Capital One
US001,A023,-29.99,2023/04/15,GENERAL_SERVICES_EDUCATION,Credit Card,CBL01,Coursera,Visa,Chase Bank
