User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023-06-30,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,45.99,2023-06-30,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,12.50,2023-06-29,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Capital One
US001,T004,89.99,2023-06-29,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ET01,Netflix,Visa,Capital One
US001,T005,35.00,2023-06-28,TRANSPORTATION_GAS,Debit Card,GS01,Shell,Visa,Chase Bank
US001,T006,22.50,2023-06-28,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Chipotle,Mastercard,Capital One
US001,T007,1200.00,2023-06-27,RENT_AND_UTILITIES_RENT,Bank Transfer,LN01,City Apartments,ACH,Chase Bank
US001,T008,75.00,2023-06-27,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Capital One
US001,T009,15.99,2023-06-26,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,Mastercard,Capital One
US001,T010,65.00,2023-06-26,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,H&M,Visa,Capital One
US001,T011,42.50,2023-06-25,FOOD_AND_DRINK_RESTAURANT,Debit Card,RS01,Cheesecake Factory,Visa,Chase Bank
US001,T012,9.99,2023-06-25,ENTERTAINMENT_VIDEO_GAMES,Credit Card,VG01,Steam,Mastercard,Capital One
US001,T013,55.00,2023-06-24,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RS01,Uber,Visa,Capital One
US001,T014,120.00,2023-06-24,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,Mastercard,Capital One
US001,T015,18.50,2023-06-23,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Debit Card,LQ01,Total Wine,Visa,Chase Bank
US001,T016,30.00,2023-06-23,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,SP01,Local Stadium,Visa,Capital One
US001,T017,85.00,2023-06-22,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,OM01,Amazon,Mastercard,Capital One
US001,T018,40.00,2023-06-22,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,HB01,SuperCuts,Visa,Chase Bank
US001,T019,150.00,2023-06-21,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Bank Transfer,IC01,Comcast,ACH,Chase Bank
US001,T020,25.00,2023-06-21,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF02,Five Guys,Visa,Capital One
US001,T021,60.00,2023-06-20,TRANSPORTATION_GAS,Debit Card,GS02,Chevron,Visa,Chase Bank
US001,T022,14.99,2023-06-20,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ET02,Hulu,Mastercard,Capital One
US001,T023,95.00,2023-06-19,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SG01,Dick's Sporting Goods,Visa,Capital One
US001,T024,32.50,2023-06-19,FOOD_AND_DRINK_RESTAURANT,Debit Card,RS02,Olive Garden,Visa,Chase Bank
US001,T025,75.00,2023-06-18,GENERAL_SERVICES_INSURANCE,Bank Transfer,IN01,State Farm,ACH,Chase Bank
US001,T026,20.00,2023-06-18,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,CG01,DraftKings,Mastercard,Capital One
US001,T027,50.00,2023-06-17,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,T028,12.99,2023-06-17,ENTERTAINMENT_VIDEO_GAMES,Credit Card,VG02,PlayStation Store,Visa,Capital One
US001,T029,45.00,2023-06-16,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RS02,Lyft,Mastercard,Capital One
US001,T030,80.00,2023-06-16,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,DS01,Target,Visa,Capital One
US001,T031,22.50,2023-06-16,FOOD_AND_DRINK_COFFEE,Debit Card,CF02,Dunkin' Donuts,Visa,Chase Bank
US001,T032,65.00,2023-06-16,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Capital One
US001,T033,35.99,2023-06-16,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF03,Domino's Pizza,Mastercard,Capital One
US001,T034,15.00,2023-06-16,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,Mastercard,Capital One
US001,T035,28.50,2023-06-16,TRANSPORTATION_PARKING,Debit Card,PK01,City Parking,Visa,Chase Bank
