User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,C001,8500.00,2024-01-15,INCOME_WAGES,Direct Deposit,EMP01,Tech Corp Inc,ACH,BOA
US001,D001,-1800.00,2024-01-01,RENT_AND_UTILITIES_RENT,Auto Debit,APT05,Sunset Apartments,ACH,BOA
US001,D002,-125.32,2024-01-02,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Credit Card,COM01,Comcast,VISA,BOA
US001,D003,-245.67,2024-01-03,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,VISA,BOA
US001,D004,-189.99,2024-01-04,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NK01,Nordstrom,VISA,BOA
US001,D005,-65.75,2024-01-05,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Cheesecake Factory,VISA,BOA
US001,D006,-14.99,2024-01-05,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,VISA,BOA
US001,D007,-158.45,2024-01-06,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,UL01,Ulta Beauty,VISA,BOA
US001,D008,-45.00,2024-01-07,TRANSPORTATION_GAS,Credit Card,SH01,Shell Gas,VISA,BOA
US001,D009,-128.35,2024-01-08,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,VISA,BOA
US001,D010,-75.00,2024-01-09,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Auto Debit,PL01,Planet Fitness,ACH,BOA
US001,D011,-165.32,2024-01-10,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ01,Trader Joe's,VISA,BOA
US001,D012,-35.00,2024-01-11,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,BOA
US001,D013,-225.50,2024-01-12,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,MC01,Macy's,VISA,BOA
US001,D014,-89.99,2024-01-12,RENT_AND_UTILITIES_TELEPHONE,Auto Debit,VZ01,Verizon Wireless,ACH,BOA
