User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,3500.00,2023/06/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,B001,-12.99,2023/06/01,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,B002,-45.67,2023/06/02,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,VISA,Chase Bank
US001,B003,-9.99,2023/06/02,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SPT01,Spotify,VISA,Chase Bank
US001,B004,-14.99,2023/06/03,GENERAL_SERVICES_EDUCATION,Credit Card,SK01,Skillshare,VISA,Chase Bank
US001,B005,-8.50,2023/06/03,FOOD_AND_DRINK_FAST_FOOD,Debit Card,SB02,Subway,VISA,Chase Bank
US001,B006,-35.00,2023/06/04,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,PF01,Planet Fitness,VISA,Chase Bank
US001,B007,-22.99,2023/06/05,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,TJ01,TJ Maxx,VISA,Chase Bank
US001,B008,-7.99,2023/06/05,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,B009,-150.00,2023/06/06,TRANSFER_OUT_SAVINGS,Bank Transfer,CHB01,Chase Bank,ACH,Chase Bank
US001,B010,-55.00,2023/06/07,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ02,Trader Joe's,VISA,Chase Bank
US001,B011,-12.99,2023/06/08,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,VISA,Chase Bank
US001,B012,-30.00,2023/06/08,TRANSPORTATION_GAS,Credit Card,SH01,Shell,VISA,Chase Bank
US001,B013,-19.99,2023/06/09,GENERAL_SERVICES_EDUCATION,Credit Card,UD01,Udemy,VISA,Chase Bank
US001,B014,-8.50,2023/06/09,FOOD_AND_DRINK_FAST_FOOD,Debit Card,SB02,Subway,VISA,Chase Bank
US001,B015,-42.00,2023/06/10,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,VISA,Chase Bank
US001,B016,-14.99,2023/06/11,GENERAL_SERVICES_EDUCATION,Credit Card,SK01,Skillshare,VISA,Chase Bank
US001,B017,-25.00,2023/06/11,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,UL01,Ulta,VISA,Chase Bank
US001,B018,-9.99,2023/06/12,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,B019,-35.00,2023/06/12,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,PF01,Planet Fitness,VISA,Chase Bank
US001,B020,-60.00,2023/06/13,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,VISA,Chase Bank
US001,B021,-7.99,2023/06/13,FOOD_AND_DRINK_FAST_FOOD,Debit Card,MCD01,McDonald's,VISA,Chase Bank
US001,B022,-19.99,2023/06/14,GENERAL_SERVICES_EDUCATION,Credit Card,CR01,Coursera,VISA,Chase Bank
US001,B023,-30.00,2023/06/14,TRANSPORTATION_GAS,Credit Card,SH01,Shell,VISA,Chase Bank
US001,B024,-12.99,2023/06/15,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,VISA,Chase Bank
US001,B025,-150.00,2023/06/15,TRANSFER_OUT_SAVINGS,Bank Transfer,CHB01,Chase Bank,ACH,Chase Bank
