User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2024-01-31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-45.67,2024-01-31,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,-12.99,2024-01-30,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Visa,Chase Bank
US001,T004,-89.99,2024-01-30,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nike,Visa,Chase Bank
US001,T005,-15.50,2024-01-29,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Visa,Chase Bank
US001,T006,-65.00,2024-01-29,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Chase Bank
US001,T007,-32.50,2024-01-28,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Chipotle,Visa,Chase Bank
US001,T008,-14.99,2024-01-27,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,Chase Bank
US001,T009,-55.00,2024-01-27,TRANSPORTATION_GAS,Credit Card,GS01,Shell,Visa,Chase Bank
US001,T010,-120.00,2024-01-26,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,Visa,Chase Bank
US001,T011,-9.99,2024-01-25,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,Visa,Chase Bank
US001,T012,-45.00,2024-01-24,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,Visa,Chase Bank
US001,T013,-25.00,2024-01-23,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,HB01,Sephora,Visa,Chase Bank
US001,T014,-35.99,2024-01-22,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,Credit Card,BK01,Barnes & Noble,Visa,Chase Bank
US001,T015,-18.50,2024-01-21,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,McDonald's,Visa,Chase Bank
US001,T016,-65.00,2024-01-20,TRANSPORTATION_GAS,Credit Card,GS02,Chevron,Visa,Chase Bank
US001,T017,-129.99,2024-01-19,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SG01,Dick's Sporting Goods,Visa,Chase Bank
US001,T018,-12.99,2024-01-18,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Visa,Chase Bank
US001,T019,-55.00,2024-01-17,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T020,-15.50,2024-01-17,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Visa,Chase Bank
US001,T021,-65.00,2024-01-16,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Chase Bank
US001,T022,-42.00,2024-01-16,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS02,Olive Garden,Visa,Chase Bank
US001,T023,-14.99,2024-01-15,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,Chase Bank
US001,T024,-29.99,2024-01-15,GENERAL_SERVICES_EDUCATION,Credit Card,ED01,Udemy,Visa,Chase Bank
US001,T025,-75.00,2024-01-14,TRANSPORTATION_GAS,Credit Card,GS03,ExxonMobil,Visa,Chase Bank
US001,T026,-22.50,2024-01-14,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS03,Panera Bread,Visa,Chase Bank
US001,T027,-89.99,2024-01-13,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL02,Uniqlo,Visa,Chase Bank
US001,T028,-35.00,2024-01-12,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,EN01,Local Museum,Visa,Chase Bank
US001,T029,-15.50,2024-01-11,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Visa,Chase Bank
US001,T030,-49.99,2024-01-10,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL02,Amazon,Visa,Chase Bank
US001,T031,-65.00,2024-01-09,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Chase Bank
US001,T032,-38.50,2024-01-08,FOOD_AND_DRINK_GROCERIES,Credit Card,GR03,Safeway,Visa,Chase Bank
US001,T033,-12.99,2024-01-07,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Visa,Chase Bank
US001,T034,-25.00,2024-01-06,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS04,Local Sushi Place,Visa,Chase Bank
US001,T035,-19.99,2024-01-05,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST02,PlayStation Store,Visa,Chase Bank
