User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,85000,01/06/25,salary,Bank Transfer,SAL001,ABC Corporation,NEFT,HDFC
US001,T002,-1200,02/06/25,rent,UPI,RNT001,Landlord,UPI,HDFC
US001,T003,-350,02/06/25,groceries,Debit Card,GRC001,BigBasket,VISA,HDFC
US001,T004,-45,03/06/25,transportation,UPI,TRP001,Uber,UPI,HDFC
US001,T005,-2500,04/06/25,shopping,Credit Card,SHP001,Amazon,VISA,ICICI
US001,T006,-180,05/06/25,food,Credit Card,FD001,Swiggy,MASTERCARD,ICICI
US001,T007,-800,06/06/25,utilities,Net Banking,UTL001,BESCOM,IMPS,HDFC
US001,T008,-1500,07/06/25,healthcare,Debit Card,HC001,Apollo Pharmacy,VISA,HDFC
US001,T009,-750,08/06/25,entertainment,Credit Card,ENT001,BookMyShow,VISA,ICICI
US001,T010,-320,09/06/25,groceries,UPI,GRC002,DMart,UPI,HDFC
US001,T011,-4500,10/06/25,shopping,Credit Card,SHP002,Myntra,MASTERCARD,ICICI
US001,T012,-65,11/06/25,transportation,UPI,TRP002,Ola,UPI,HDFC
US001,T013,-220,12/06/25,food,UPI,FD002,Zomato,UPI,HDFC
US001,T014,-1200,14/06/25,education,Net Banking,EDU001,Coursera,SWIFT,HDFC
US001,T015,-3200,15/06/25,travel,Credit Card,TRV001,MakeMyTrip,VISA,ICICI
US001,T016,-450,16/06/25,groceries,Debit Card,GRC003,Reliance Fresh,VISA,HDFC
US001,T017,-890,18/06/25,healthcare,Credit Card,HC002,Max Hospital,MASTERCARD,ICICI
US001,T018,-150,19/06/25,entertainment,UPI,ENT002,Spotify,UPI,HDFC
US001,T019,-2800,20/06/25,shopping,Credit Card,SHP003,Flipkart,VISA,ICICI
US001,T020,-380,22/06/25,food,Credit Card,FD003,KFC,MASTERCARD,ICICI
US002,T021,45000,01/06/25,salary,Bank Transfer,SAL002,XYZ Pvt Ltd,NEFT,SBI
US002,T022,-800,02/06/25,rent,UPI,RNT002,Property Owner,UPI,SBI
US002,T023,-250,03/06/25,groceries,Debit Card,GRC004,More Supermarket,RUPAY,SBI
US002,T024,-30,04/06/25,transportation,UPI,TRP003,Metro Card,UPI,SBI
US002,T025,-1200,05/06/25,shopping,Credit Card,SHP004,Ajio,VISA,AXIS
US002,T026,-120,06/06/25,food,UPI,FD004,Dominos,UPI,SBI
US002,T027,-500,07/06/25,utilities,Net Banking,UTL002,Airtel,IMPS,SBI
US002,T028,-300,08/06/25,healthcare,Debit Card,HC003,1mg,RUPAY,SBI
US002,T029,-400,09/06/25,entertainment,Credit Card,ENT003,Netflix,VISA,AXIS
US002,T030,-180,10/06/25,groceries,UPI,GRC005,Spencer's,UPI,SBI
US002,T031,-85,11/06/25,transportation,UPI,TRP004,Rapido,UPI,SBI
US002,T032,-95,12/06/25,food,UPI,FD005,Chai Point,UPI,SBI
US002,T033,-600,14/06/25,education,Debit Card,EDU002,Udemy,RUPAY,SBI
US002,T034,-1800,15/06/25,travel,Credit Card,TRV002,IRCTC,VISA,AXIS
US002,T035,-220,16/06/25,groceries,Debit Card,GRC006,Big Bazaar,RUPAY,SBI
US002,T036,-450,18/06/25,healthcare,Credit Card,HC004,Practo,VISA,AXIS
US002,T037,-200,19/06/25,entertainment,UPI,ENT004,Hotstar,UPI,SBI
US002,T038,-1500,20/06/25,shopping,Credit Card,SHP005,Nykaa,VISA,AXIS
US002,T039,-65,22/06/25,transportation,UPI,TRP005,Auto Rickshaw,UPI,SBI
US002,T040,-280,23/06/25,food,Credit Card,FD006,McDonald's,VISA,AXIS
US003,T041,120000,01/06/25,salary,Bank Transfer,SAL003,Tech Solutions,NEFT,AXIS
US003,T042,-2500,02/06/25,rent,UPI,RNT003,Apartment Complex,UPI,AXIS
US003,T043,-650,03/06/25,groceries,Credit Card,GRC007,Godrej Nature's Basket,MASTERCARD,AMEX
US003,T044,-150,04/06/25,transportation,UPI,TRP006,Uber Eats,UPI,AXIS
US003,T045,-8500,05/06/25,shopping,Credit Card,SHP006,Apple Store,MASTERCARD,AMEX
US003,T046,-450,06/06/25,food,Credit Card,FD007,Barbeque Nation,MASTERCARD,AMEX
US003,T047,-1200,07/06/25,utilities,Net Banking,UTL003,BSNL,IMPS,AXIS
US003,T048,-2200,08/06/25,healthcare,Credit Card,HC005,Fortis Hospital,MASTERCARD,AMEX
US003,T049,-1500,09/06/25,entertainment,Credit Card,ENT005,PVR Cinemas,MASTERCARD,AMEX
US003,T050,-480,10/06/25,groceries,Credit Card,GRC008,Organic World,MASTERCARD,AMEX
US003,T051,-25000,11/06/25,investment,Net Banking,INV001,Mutual Fund,RTGS,AXIS
US003,T052,-180,12/06/25,transportation,UPI,TRP007,BluSmart,UPI,AXIS
US003,T053,-650,13/06/25,food,Credit Card,FD008,Taj Hotels,MASTERCARD,AMEX
US003,T054,-3500,14/06/25,education,Credit Card,EDU003,IIM Executive,MASTERCARD,AMEX
US003,T055,-15000,15/06/25,travel,Credit Card,TRV003,Thomas Cook,MASTERCARD,AMEX
US003,T056,-550,16/06/25,groceries,Credit Card,GRC009,Haiko Supermarket,MASTERCARD,AMEX
US003,T057,-1800,18/06/25,healthcare,Credit Card,HC006,Asian Heart Institute,MASTERCARD,AMEX
US003,T058,-300,19/06/25,entertainment,Credit Card,ENT006,Amazon Prime,MASTERCARD,AMEX
US003,T059,-12000,20/06/25,shopping,Credit Card,SHP007,Louis Vuitton,MASTERCARD,AMEX
US003,T060,-750,22/06/25,food,Credit Card,FD009,Toit Brewery,MASTERCARD,AMEX
US004,T061,35000,01/06/25,salary,Bank Transfer,SAL004,Retail Chain,NEFT,KOTAK
US004,T062,-700,02/06/25,rent,UPI,RNT004,Flat Owner,UPI,KOTAK
US004,T063,-200,03/06/25,groceries,Debit Card,GRC010,Local Kirana,MASTERCARD,KOTAK
US004,T064,-25,04/06/25,transportation,UPI,TRP008,Bus Pass,UPI,KOTAK
US004,T065,-800,05/06/25,shopping,Credit Card,SHP008,Pantaloons,VISA,ICICI
US004,T066,-80,06/06/25,food,UPI,FD010,Local Restaurant,UPI,KOTAK
US004,T067,-400,07/06/25,utilities,Net Banking,UTL004,Jio,IMPS,KOTAK
US004,T068,-150,08/06/25,healthcare,Debit Card,HC007,Local Clinic,MASTERCARD,KOTAK
US004,T069,-250,09/06/25,entertainment,Credit Card,ENT007,Inox Movies,VISA,ICICI
US004,T070,-180,10/06/25,groceries,UPI,GRC011,Jiomart,UPI,KOTAK
US004,T071,-40,11/06/25,transportation,UPI,TRP009,Share Auto,UPI,KOTAK
US004,T072,-60,12/06/25,food,UPI,FD011,Street Food,UPI,KOTAK
US004,T073,-500,14/06/25,education,Debit Card,EDU004,Skill Development,MASTERCARD,KOTAK
US004,T074,-1200,15/06/25,travel,Credit Card,TRV004,RedBus,VISA,ICICI
US004,T075,-160,16/06/25,groceries,Debit Card,GRC012,Vegetable Market,MASTERCARD,KOTAK
US004,T076,-300,18/06/25,healthcare,Credit Card,HC008,Medical Store,VISA,ICICI
