User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,5500.00,2023/06/30,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Bank of America
US001,T002,-2200.00,2023/06/30,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Automatic Debit,MTG01,HomeLoans Corp,ACH,Bank of America
US001,T003,-150.00,2023/06/30,TRANSFER_OUT_SAVINGS,Online Transfer,SAV01,Personal Savings,Internal,Bank of America
US001,T004,-89.99,2023/06/29,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,Chase
US001,T005,-120.50,2023/06/28,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,Mastercard,American Express
US001,T006,-65.00,2023/06/27,TRANSPORTATION_GAS,Credit Card,SH01,Shell,Visa,Bank of America
US001,T007,-180.00,2023/06/26,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Mastercard,American Express
US001,T008,-45.00,2023/06/25,FOOD_AND_DRINK_RESTAURANT,Credit Card,OG01,Olive Garden,Visa,Chase
US001,T009,-14.99,2023/06/24,ENTERTAINMENT_MUSIC_AND_AUDIO,Automatic Debit,SP01,Spotify,ACH,Bank of America
US001,T010,-220.00,2023/06/23,HOME_IMPROVEMENT_FURNITURE,Credit Card,WE01,West Elm,Mastercard,American Express
US001,T011,-80.00,2023/06/22,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,UL01,Ulta Beauty,Visa,Bank of America
US001,T012,-35.00,2023/06/21,FOOD_AND_DRINK_FAST_FOOD,Credit Card,MCD1,McDonald's,Visa,Chase
US001,T013,-150.00,2023/06/20,GENERAL_SERVICES_INSURANCE,Automatic Debit,SF01,State Farm,ACH,Bank of America
US001,T014,-75.00,2023/06/19,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,TM01,Ticketmaster,Mastercard,American Express
US001,T015,-55.00,2023/06/18,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,UB01,Uber,Visa,Chase
US001,T016,-200.00,2023/06/17,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Visa,Bank of America
US001,T017,-30.00,2023/06/16,FOOD_AND_DRINK_COFFEE,Credit Card,SB01,Starbucks,Mastercard,American Express
US001,T018,-120.00,2023/06/16,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Debit,COM1,Comcast,ACH,Bank of America
US001,T019,-85.00,2023/06/16,TRANSPORTATION_GAS,Credit Card,EX01,ExxonMobil,Visa,Chase
US001,T020,-250.00,2023/06/16,LOAN_PAYMENTS_CAR_PAYMENT,Automatic Debit,TY01,Toyota Financial,ACH,Bank of America
US001,T021,-500.00,2023/06/16,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Online Transfer,CC01,Chase Credit Card,ACH,Bank of America
US001,T022,-65.00,2023/06/16,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Credit Card,CVS1,CVS Pharmacy,Visa,Bank of America
US001,T023,-180.00,2023/06/16,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,MA01,Macy's,Mastercard,American Express
US001,T024,-40.00,2023/06/16,FOOD_AND_DRINK_RESTAURANT,Credit Card,CH01,Chili's,Visa,Chase
US001,T025,-95.00,2023/06/16,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Automatic Debit,PF01,Planet Fitness,ACH,Bank of America
US001,T026,-60.00,2023/06/16,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,Visa,Bank of America
US001,T027,-150.00,2023/06/16,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,Mastercard,American Express
US001,T028,-75.00,2023/06/16,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ01,Trader Joe's,Visa,Chase
US001,T029,-25.00,2023/06/16,ENTERTAINMENT_TV_AND_MOVIES,Automatic Debit,HU01,Hulu,ACH,Bank of America
US001,T030,-110.00,2023/06/16,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,DK01,Dick's Sporting Goods,Visa,Bank of America
US001,T031,-45.00,2023/06/16,FOOD_AND_DRINK_RESTAURANT,Credit Card,CP01,Chipotle,Mastercard,American Express
US001,T032,-200.00,2023/06/16,TRANSFER_OUT_INVESTMENT_AND_RETIREMENT_FUNDS,Online Transfer,VG01,Vanguard,ACH,Bank of America
US001,T033,-30.00,2023/06/16,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Credit Card,TW01,Total Wine,Visa,Chase
US001,T034,-70.00,2023/06/16,GENERAL_SERVICES_EDUCATION,Automatic Debit,KA01,Khan Academy,ACH,Bank of America
US001,T035,-55.00,2023/06/16,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,LY01,Lyft,Mastercard,American Express
