User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,A001,5250.0,2023/04/01,INCOME_WAGES,Direct Deposit,EMP01,TechCorp Inc.,ACH,Chase Bank
US001,A002,-2500.0,2023/04/01,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Automatic Debit,MTG01,HomeLoans LLC,ACH,Chase Bank
US001,A003,-150.0,2023/04/01,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Visa,American Express
US001,A004,-85.75,2023/04/02,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,Mastercard,Bank of America
US001,A005,-65.0,2023/04/02,TRANSPORTATION_GAS,Credit Card,SH01,Shell,Visa,Chase Bank
US001,A006,-120.5,2023/04/03,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Amex,American Express
US001,A007,-45.0,2023/04/03,FOOD_AND_DRINK_RESTAURANT,Credit Card,SB01,Starbucks,Visa,Chase Bank
US001,A008,-200.0,2023/04/04,GENERAL_SERVICES_INSURANCE,Automatic Debit,SF01,State Farm,ACH,Chase Bank
US001,A009,-75.0,2023/04/04,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,EF01,Equinox Fitness,Mastercard,Bank of America
US001,A010,-180.0,2023/04/05,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Visa,American Express
US001,A011,-55.0,2023/04/06,FOOD_AND_DRINK_RESTAURANT,Credit Card,CM01,Cheesecake Factory,Mastercard,Bank of America
US001,A012,-130.0,2023/04/07,HOME_IMPROVEMENT_FURNITURE,Credit Card,WE01,West Elm,Amex,American Express
US001,A013,-40.0,2023/04/07,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Visa,Chase Bank
US001,A014,-95.0,2023/04/08,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PT01,PetSmart,Mastercard,Bank of America
US001,A015,-250.0,2023/04/08,LOAN_PAYMENTS_CAR_PAYMENT,Automatic Debit,TY01,Toyota Financial,ACH,Chase Bank
US001,A016,-60.0,2023/04/09,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ01,Trader Joe's,Visa,Chase Bank
US001,A017,-150.0,2023/04/10,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,BR01,Banana Republic,Amex,American Express
US001,A018,-80.0,2023/04/10,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,TM01,Ticketmaster,Mastercard,Bank of America
US001,A019,-35.0,2023/04/11,FOOD_AND_DRINK_FAST_FOOD,Credit Card,MCD1,McDonald's,Visa,Chase Bank
US001,A020,-220.0,2023/04/11,GENERAL_SERVICES_AUTOMOTIVE,Credit Card,PEP1,Pep Boys,Amex,American Express
US001,A021,-50.0,2023/04/12,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,ULT1,Ulta Beauty,Mastercard,Bank of America
US001,A022,-75.0,2023/04/12,FOOD_AND_DRINK_RESTAURANT,Credit Card,OG01,Olive Garden,Visa,Chase Bank
US001,A023,-30.0,2023/04/13,TRANSPORTATION_PARKING,Credit Card,SP01,City Parking,Mastercard,Bank of America
US001,A024,-100.0,2023/04/13,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AMZN,Amazon,Visa,American Express
US001,A025,-45.0,2023/04/14,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Credit Card,BEV1,BevMo,Amex,American Express
US001,A026,-65.0,2023/04/14,TRANSPORTATION_GAS,Credit Card,EX01,ExxonMobil,Visa,Chase Bank
US001,A027,-180.0,2023/04/15,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Debit,COM1,Comcast,ACH,Chase Bank
US001,A028,-90.0,2023/04/15,FOOD_AND_DRINK_GROCERIES,Credit Card,KR01,Kroger,Mastercard,Bank of America
US001,A029,-60.0,2023/04/15,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GS01,GameStop,Visa,American Express
US001,A030,-150.0,2023/04/15,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Credit Card,CVS1,CVS Pharmacy,Amex,American Express
US001,A001,5200.0,2024/01/15,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,B001,-125.5,2024/01/15,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Credit Card,CC01,Chase Credit Card,VISA,Chase Bank
US001,C001,-2100.0,2024/01/15,LOAN_PAYMENTS_MORTGAGE_PAYMENT,Auto Debit,MTG01,HomeLoans Corp,ACH,Wells Fargo
US001,D001,-89.99,2024/01/16,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,VISA,American Express
US001,E001,-156.78,2024/01/16,FOOD_AND_DRINK_GROCERIES,Credit Card,WF01,Whole Foods,MASTERCARD,Capital One
US001,F001,-65.0,2024/01/17,TRANSPORTATION_GAS,Debit Card,SH01,Shell Gas Station,VISA,Chase Bank
US001,G001,-120.5,2024/01/18,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NK01,Nordstrom,AMEX,American Express
US001,H001,-45.99,2024/01/19,FOOD_AND_DRINK_RESTAURANT,Credit Card,OG01,Olive Garden,VISA,Chase Bank
US001,I001,-199.99,2024/01/20,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,MASTERCARD,Capital One
US001,J001,-14.99,2024/01/20,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,VISA,Chase Bank
US001,K001,-75.0,2024/01/21,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Auto Debit,EF01,Equinox Fitness,ACH,Chase Bank
US001,L001,-220.0,2024/01/22,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,MC01,Macy's,AMEX,American Express
US001,M001,-35.5,2024/01/23,FOOD_AND_DRINK_FAST_FOOD,Debit Card,MCD1,McDonald's,VISA,Chase Bank
US001,N001,-180.0,2024/01/24,HOME_IMPROVEMENT_FURNITURE,Credit Card,IK01,IKEA,VISA,Chase Bank
US001,O001,-55.0,2024/01/24,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,ULT1,Ulta Beauty,MASTERCARD,Capital One
US001,P001,-110.75,2024/01/25,FOOD_AND_DRINK_GROCERIES,Debit Card,TJ01,Trader Joe's,VISA,Chase Bank
US001,Q001,-250.0,2024/01/25,GENERAL_SERVICES_INSURANCE,Auto Debit,SF01,State Farm Insurance,ACH,Wells Fargo
US001,R001,-85.0,2024/01/26,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,TM01,Ticketmaster,AMEX,American Express
US001,S001,-40.0,2024/01/26,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,UB01,Uber,VISA,Chase Bank
US001,T001,-129.99,2024/01/27,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,VISA,Chase Bank
US001,U001,-60.0,2024/01/27,FOOD_AND_DRINK_RESTAURANT,Credit Card,CB01,Cheesecake Factory,MASTERCARD,Capital One
US001,V001,-95.0,2024/01/28,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Debit Card,CVS1,CVS Pharmacy,VISA,Chase Bank
US001,W001,-150.0,2024/01/28,GENERAL_SERVICES_AUTOMOTIVE,Credit Card,FD01,Ford Service Center,AMEX,American Express
US001,X001,-200.0,2024/01/29,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Auto Debit,COM1,Comcast,ACH,Chase Bank
US001,Y001,-75.5,2024/01/29,FOOD_AND_DRINK_GROCERIES,Credit Card,KR01,Kroger,VISA,Chase Bank
US001,Z001,-30.0,2024/01/30,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,MASTERCARD,Capital One
US001,AA01,-45.0,2024/01/30,FOOD_AND_DRINK_RESTAURANT,Debit Card,SB01,Starbucks,VISA,Chase Bank
US001,AB01,-180.0,2024/01/30,RENT_AND_UTILITIES_GAS_AND_ELECTRICITY,Auto Debit,PG01,PG&E,ACH,Wells Fargo
US001,AC01,-65.0,2024/01/31,TRANSPORTATION_GAS,Credit Card,EX01,ExxonMobil,VISA,Chase Bank
US001,AD01,-89.99,2024/01/31,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,DS01,Dick's Sporting Goods,AMEX,American Express
US001,AE01,-50.0,2024/01/31,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,HB01,HBO Max,VISA,Chase Bank
US001,AF01,-125.5,2024/01/31,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,Credit Card,CC02,American Express,AMEX,American Express
