User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
U1,TU101001,-4500.0,2023/01/02,INCOME_WAGES,Direct Deposit,EMP01,Tech Corp,ACH,Chase
U1,TU101002,89.99,2023/01/03,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Mastercard,Amex
U1,TU101003,14.99,2023/01/03,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SPO1,Spotify,Visa,Citi
U1,TU101004,125.5,2023/01/05,FOOD_AND_DRINK_GROCERIES,Debit Card,WF01,Whole Foods,Visa,Chase
U1,TU101005,65.0,2023/01/07,FOOD_AND_DRINK_RESTAURANT,Credit Card,SB01,Sushi Bar,Mastercard,Amex
U1,TU101006,199.99,2023/01/08,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Visa,Citi
U1,TU101007,45.0,2023/01/10,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Debit Card,PF01,Planet Fitness,Visa,Chase
U1,TU101008,79.99,2023/01/11,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NK01,Nike,Mastercard,Amex
U1,TU101009,9.99,2023/01/12,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,Visa,Citi
U1,TU101010,1500.0,2023/01/15,RENT_AND_UTILITIES_RENT,Bank Transfer,APT1,Luxury Apartments,ACH,Chase
U1,TU101011,120.0,2023/01/16,TRANSPORTATION_GAS,Credit Card,SH01,Shell,Mastercard,Amex
U1,TU101012,55.0,2023/01/17,FOOD_AND_DRINK_RESTAURANT,Debit Card,CP01,Cheesecake Factory,Visa,Chase
U1,TU101013,29.99,2023/01/18,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,Visa,Citi
U1,TU101014,200.0,2023/01/19,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Mastercard,Amex
U1,TU101015,75.0,2023/01/20,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,UL01,Ulta,Visa,Chase
U1,TU101016,150.0,2023/01/21,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,TM01,Ticketmaster,Visa,Citi
U1,TU101017,89.99,2023/01/22,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Automatic Payment,COM1,Comcast,ACH,Chase
U1,TU101018,35.0,2023/01/23,FOOD_AND_DRINK_FAST_FOOD,Credit Card,SB02,Starbucks,Mastercard,Amex
U1,TU101019,500.0,2023/01/24,TRANSFER_OUT_SAVINGS,Bank Transfer,SAV1,High Yield Savings,ACH,Chase
U1,TU101020,60.0,2023/01/25,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,UB01,Uber,Visa,Citi
U1,TU101021,95.0,2023/01/26,GENERAL_MERCHANDISE_ELECTRONICS,Debit Card,AP01,Apple Store,Visa,Chase
U1,TU101022,40.0,2023/01/27,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,CM01,Concert Tickets,Mastercard,Amex
U1,TU101023,110.0,2023/01/28,FOOD_AND_DRINK_GROCERIES,Credit Card,TJ01,Trader Joe's,Visa,Citi
U1,TU101024,25.0,2023/01/30,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,HU01,Hulu,Mastercard,Amex
U1,TU101025,70.0,2023/01/31,FOOD_AND_DRINK_RESTAURANT,Debit Card,CF01,Cheesecake Factory,Visa,Chase
U1,TU101026,-3500.0,2023/01/15,INCOME_WAGES,Direct Deposit,EMP01,Tech Corp Inc,ACH,Chase
