User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023-05-31,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,45.67,2023-05-31,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Whole Foods,Visa,Chase Bank
US001,T003,12.99,2023-05-30,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,SP01,Spotify,Mastercard,Capital One
US001,T004,35.50,2023-05-30,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Cheesecake Factory,Visa,Chase Bank
US001,T005,60.00,2023-05-29,TRANSPORTATION_GAS,Debit Card,GS01,Shell,Visa,Chase Bank
US001,T006,15.99,2023-05-29,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF01,Netflix,Mastercard,Capital One
US001,T007,25.00,2023-05-28,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,Visa,Chase Bank
US001,T008,75.32,2023-05-28,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NK01,Nike,Mastercard,Capital One
US001,T009,8.50,2023-05-27,FOOD_AND_DRINK_COFFEE,Debit Card,SB01,Starbucks,Visa,Chase Bank
US001,T010,150.00,2023-05-27,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,TM01,Ticketmaster,Mastercard,Capital One
US001,T011,22.99,2023-05-26,FOOD_AND_DRINK_FAST_FOOD,Debit Card,CH01,Chipotle,Visa,Chase Bank
US001,T012,65.00,2023-05-26,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB01,Best Buy,Mastercard,Capital One
US001,T013,40.00,2023-05-25,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,UB01,Uber,Visa,Chase Bank
US001,T014,18.75,2023-05-25,FOOD_AND_DRINK_BEER_WINE_AND_LIQUOR,Debit Card,LQ01,Total Wine,Visa,Chase Bank
US001,T015,95.00,2023-05-24,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ01,Amazon,Mastercard,Capital One
US001,T016,30.00,2023-05-24,ENTERTAINMENT_VIDEO_GAMES,Credit Card,ST01,Steam,Visa,Chase Bank
US001,T017,55.50,2023-05-23,FOOD_AND_DRINK_RESTAURANT,Debit Card,OG01,Olive Garden,Visa,Chase Bank
US001,T018,12.99,2023-05-23,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,HU01,Hulu,Mastercard,Capital One
US001,T019,80.00,2023-05-22,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,NM01,Nordstrom,Visa,Chase Bank
US001,T020,35.00,2023-05-22,PERSONAL_CARE_HAIR_AND_BEAUTY,Debit Card,SN01,Supercuts,Visa,Chase Bank
US001,T021,45.00,2023-05-21,FOOD_AND_DRINK_GROCERIES,Debit Card,TJ01,Trader Joe's,Visa,Chase Bank
US001,T022,20.00,2023-05-21,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,DK01,DraftKings,Mastercard,Capital One
US001,T023,10.99,2023-05-20,FOOD_AND_DRINK_FAST_FOOD,Debit Card,SB02,Subway,Visa,Chase Bank
US001,T024,50.00,2023-05-20,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,DS01,Dick's Sporting Goods,Mastercard,Capital One
US001,T025,15.00,2023-05-19,TRANSPORTATION_PARKING,Debit Card,SP01,City Parking,Visa,Chase Bank
US001,T026,70.00,2023-05-19,FOOD_AND_DRINK_RESTAURANT,Credit Card,CF01,Cheesecake Factory,Visa,Chase Bank
US001,T027,25.99,2023-05-18,GENERAL_MERCHANDISE_ONLINE_MARKETPLACES,Credit Card,AZ02,Amazon,Mastercard,Capital One
US001,T028,8.50,2023-05-18,FOOD_AND_DRINK_COFFEE,Debit Card,SB03,Starbucks,Visa,Chase Bank
US001,T029,40.00,2023-05-17,TRANSPORTATION_GAS,Debit Card,EX01,Exxon,Visa,Chase Bank
US001,T030,65.00,2023-05-17,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,TM02,Ticketmaster,Mastercard,Capital One
US001,T031,30.00,2023-05-17,FOOD_AND_DRINK_FAST_FOOD,Debit Card,MD01,McDonald's,Visa,Chase Bank
US001,T032,120.00,2023-05-17,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,BB02,Best Buy,Mastercard,Capital One
US001,T033,25.00,2023-05-17,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY02,24 Hour Fitness,Visa,Chase Bank
US001,T034,55.00,2023-05-17,FOOD_AND_DRINK_GROCERIES,Debit Card,WM01,Walmart,Visa,Chase Bank
US001,T035,18.99,2023-05-17,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,NF02,Netflix,Mastercard,Capital One
