User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3750.00,2024-02-15,INCOME_WAGES,Direct Deposit,EMP01,ABC Corp,ACH,Chase Bank
US001,T002,-85.32,2024-02-15,FOOD_AND_DRINK_GROCERIES,Debit Card,GR01,Safeway,Visa,Chase Bank
US001,T003,-12.50,2024-02-16,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,Mastercard,Capital One
US001,T004,-45.99,2024-02-16,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ET01,Netflix,Visa,Chase Bank
US001,T005,-65.75,2024-02-17,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Olive Garden,Mastercard,Capital One
US001,T006,-35.00,2024-02-17,TRANSPORTATION_GAS,Debit Card,GS01,Shell,Visa,Chase Bank
US001,T007,-120.50,2024-02-18,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Macy's,Visa,Chase Bank
US001,T008,-9.99,2024-02-18,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,Mastercard,Capital One
US001,T009,-75.25,2024-02-19,FOOD_AND_DRINK_GROCERIES,Debit Card,GR02,Whole Foods,Visa,Chase Bank
US001,T010,-22.50,2024-02-19,ENTERTAINMENT_VIDEO_GAMES,Credit Card,VG01,Steam,Visa,Chase Bank
US001,T011,-150.00,2024-02-20,RENT_AND_UTILITIES_INTERNET_AND_CABLE,ACH,UT01,Comcast,ACH,Chase Bank
US001,T012,-15.75,2024-02-20,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,McDonald's,Mastercard,Capital One
US001,T013,-89.99,2024-02-21,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,Visa,Chase Bank
US001,T014,-30.00,2024-02-21,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,ACH,GY01,24 Hour Fitness,ACH,Chase Bank
US001,T015,-55.50,2024-02-22,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS02,Cheesecake Factory,Mastercard,Capital One
US001,T016,-42.75,2024-02-22,TRANSPORTATION_GAS,Debit Card,GS02,Chevron,Visa,Chase Bank
US001,T017,-18.99,2024-02-23,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ET02,Hulu,Visa,Chase Bank
US001,T018,-95.25,2024-02-23,GENERAL_MERCHANDISE_GROCERIES,Debit Card,GR03,Costco,Visa,Chase Bank
US001,T019,-65.00,2024-02-24,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,SP01,Local Stadium,Mastercard,Capital One
US001,T020,-12.50,2024-02-24,FOOD_AND_DRINK_COFFEE,Credit Card,CF02,Dunkin' Donuts,Visa,Chase Bank
US001,T021,-200.00,2024-02-25,TRANSFER_OUT_SAVINGS,ACH,SV01,Chase Savings,ACH,Chase Bank
US001,T022,-35.99,2024-02-25,GENERAL_MERCHANDISE_PET_SUPPLIES,Credit Card,PS01,PetSmart,Mastercard,Capital One
US001,T023,-80.00,2024-02-26,MEDICAL_PHARMACIES_AND_SUPPLEMENTS,Debit Card,PH01,CVS Pharmacy,Visa,Chase Bank
US001,T024,-22.50,2024-02-26,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF02,Chipotle,Visa,Chase Bank
US001,T025,-150.00,2024-02-27,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,HB01,Local Salon,Mastercard,Capital One
US001,T026,-45.75,2024-02-27,FOOD_AND_DRINK_GROCERIES,Debit Card,GR04,Trader Joe's,Visa,Chase Bank
US001,T027,-60.00,2024-02-28,ENTERTAINMENT_CASINOS_AND_GAMBLING,Credit Card,CG01,Local Casino,Visa,Chase Bank
US001,T028,-15.99,2024-02-28,FOOD_AND_DRINK_COFFEE,Credit Card,CF03,Peet's Coffee,Mastercard,Capital One
US001,T029,-95.50,2024-02-29,GENERAL_MERCHANDISE_DEPARTMENT_STORES,Credit Card,DS01,Target,Visa,Chase Bank
US001,T030,-40.00,2024-02-29,TRANSPORTATION_GAS,Debit Card,GS03,ExxonMobil,Visa,Chase Bank
US001,T031,-25.00,2024-02-29,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,ET03,Amazon Prime Video,Mastercard,Capital One
US001,T032,-70.25,2024-02-29,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS03,Red Lobster,Visa,Chase Bank
US001,T033,-14.99,2024-02-29,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA02,Apple Music,Mastercard,Capital One
US001,T034,-55.00,2024-02-29,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL02,Old Navy,Visa,Chase Bank
US001,T035,-30.50,2024-02-29,FOOD_AND_DRINK_GROCERIES,Debit Card,GR05,Aldi,Visa,Chase Bank
