productId,productName,Merchant,productDesc,Product Tag,minSpend,couponcode
co001,Buy 2 Get 1 Free,Domino's,Buy any 2 pizzas and get 1 free,Food,500,DOMBOGO21
co002,20% Off on Orders Above ₹399,Domino's,Flat 20% off on orders above ₹399,Food,399,DOM20OFF
co003,First-Time User 30% Off,Domino's,30% off for first-time app users,Food,0,DOMFIRST30
co004,BOGO Burger,McDonald's,Buy one burger and get one free,Food,200,MCDBOGO
co005,15% Off on Meals,McDonald's,15% off on all meal combos,Food,300,MCDMEAL15
co006,First Order 25% Off,McDonald's,25% off on your first order,Food,0,MCDFIRST25
co007,60% Off on Shoes,Nike,Flat 60% off on select shoes,Beauty,2000,NIKE60
co008,Buy 1 Get 1 Free T-shirt,Nike,Buy one T-shirt and get one free,Beauty,1500,NIKEBOGO
co009,First Purchase 40% Off,Nike,40% off for first-time customers,Beauty,0,NIKEFIRST40
co010,₹500 Off on Flights,MakeMyTrip,₹500 off on domestic flight bookings,Travel,3000,MMT500
co011,10% Off on Hotels,MakeMyTrip,10% off on hotel bookings,Travel,2000,MMTHOTEL10
co012,First Booking 20% Off,MakeMyTrip,20% off for first-time users,Travel,0,MMTFIRST20
co013,25% Off on Home Decor,Home Centre,25% off on home decor items,Home Furnishing,1000,HC25OFF
co014,Buy 2 Get 1 Free Cushion,Home Centre,Buy 2 cushions and get 1 free,Home Furnishing,800,HCBOGO
co015,First Order 30% Off,Home Centre,30% off for first-time customers,Home Furnishing,0,HCFIRST30
co016,BOGO Face Wash,Nykaa,Buy one face wash and get one free,Beauty,400,NYKAABOGO
co017,20% Off on Skincare,Nykaa,20% off on all skincare products,Beauty,700,NYKAA20
co018,First Purchase 35% Off,Nykaa,35% off for first-time users,Beauty,0,NYKAAFIRST35
co019,Buy 1 Get 1 Bedsheet,Urban Ladder,Buy one bedsheet and get one free,Home Furnishing,1200,ULBOGO
co020,15% Off on Furniture,Urban Ladder,15% off on all furniture,Home Furnishing,3000,ULFURN15
co021,First Order 25% Off,Urban Ladder,25% off for first-time customers,Home Furnishing,0,ULFIRST25
