User Id,Txn ID,Txn Amount,Txn Date,Txn Category,Txn Mode,Merchant Code,Merchant Name,Payment Network,Issuer Name
US001,T001,3500.00,2023/05/01,INCOME_WAGES,Direct Deposit,EMP01,Tech Solutions Inc,ACH,Chase Bank
US001,T002,-45.99,2023/05/01,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,Chase Bank
US001,T003,-12.50,2023/05/02,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,VISA,Chase Bank
US001,T004,-89.99,2023/05/02,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GM01,Steam,VISA,Chase Bank
US001,T005,-15.00,2023/05/03,TRANSPORTATION_PUBLIC_TRANSIT,Debit Card,PT01,Metro Transit,VISA,Chase Bank
US001,T006,-65.32,2023/05/03,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL01,Best Buy,VISA,Chase Bank
US001,T007,-22.50,2023/05/04,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF01,Chipotle,VISA,Chase Bank
US001,T008,-1200.00,2023/05/05,RENT_AND_UTILITIES_RENT,Bank Transfer,LN01,Oakwood Apartments,ACH,Chase Bank
US001,T009,-80.00,2023/05/05,PERSONAL_CARE_GYMS_AND_FITNESS_CENTERS,Credit Card,GY01,24 Hour Fitness,VISA,Chase Bank
US001,T010,-35.99,2023/05/06,ENTERTAINMENT_MUSIC_AND_AUDIO,Credit Card,MA01,Spotify,VISA,Chase Bank
US001,T011,-55.00,2023/05/06,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS01,Local Bistro,VISA,Chase Bank
US001,T012,-120.50,2023/05/07,GENERAL_MERCHANDISE_CLOTHING_AND_ACCESSORIES,Credit Card,CL01,Nike,VISA,Chase Bank
US001,T013,-18.99,2023/05/08,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,VISA,Chase Bank
US001,T014,-65.00,2023/05/08,TRANSPORTATION_GAS,Credit Card,GS01,Shell,VISA,Chase Bank
US001,T015,-14.99,2023/05/09,ENTERTAINMENT_TV_AND_MOVIES,Credit Card,TV01,Netflix,VISA,Chase Bank
US001,T016,-85.00,2023/05/09,FOOD_AND_DRINK_GROCERIES,Credit Card,GR02,Trader Joe's,VISA,Chase Bank
US001,T017,-25.00,2023/05/10,PERSONAL_CARE_HAIR_AND_BEAUTY,Credit Card,HB01,Great Clips,VISA,Chase Bank
US001,T018,-150.00,2023/05/10,GENERAL_MERCHANDISE_ELECTRONICS,Credit Card,EL02,Amazon,VISA,Chase Bank
US001,T019,-12.50,2023/05/11,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,VISA,Chase Bank
US001,T020,-45.00,2023/05/11,FOOD_AND_DRINK_RESTAURANT,Credit Card,RS02,Cheesecake Factory,VISA,Chase Bank
US001,T021,-60.00,2023/05/12,ENTERTAINMENT_SPORTING_EVENTS_AMUSEMENT_PARKS_AND_MUSEUMS,Credit Card,EN01,Local Museum,VISA,Chase Bank
US001,T022,-35.00,2023/05/12,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,Credit Card,RS01,Uber,VISA,Chase Bank
US001,T023,-95.00,2023/05/13,GENERAL_MERCHANDISE_SPORTING_GOODS,Credit Card,SG01,Dick's Sporting Goods,VISA,Chase Bank
US001,T024,-15.00,2023/05/13,FOOD_AND_DRINK_FAST_FOOD,Credit Card,FF02,McDonald's,VISA,Chase Bank
US001,T025,-80.00,2023/05/14,FOOD_AND_DRINK_GROCERIES,Credit Card,GR01,Whole Foods,VISA,Chase Bank
US001,T026,-12.99,2023/05/14,ENTERTAINMENT_VIDEO_GAMES,Credit Card,GM02,PlayStation Store,VISA,Chase Bank
US001,T027,-18.50,2023/05/15,FOOD_AND_DRINK_COFFEE,Credit Card,CF01,Starbucks,VISA,Chase Bank
US001,T028,-55.00,2023/05/15,GENERAL_MERCHANDISE_BOOKSTORES_AND_NEWSSTANDS,Credit Card,BK01,Barnes & Noble,VISA,Chase Bank
US001,T029,-120.00,2023/05/15,RENT_AND_UTILITIES_INTERNET_AND_CABLE,Bank Transfer,IC01,Comcast,ACH,Chase Bank
US001,T030,-40.00,2023/05/15,TRANSPORTATION_GAS,Credit Card,GS02,Chevron,VISA,Chase Bank
